O*NET-SOC Code,Alternate Title,Short Title,Source(s)
11-1011.00,Aeronautics Commission Director,missing,08
11-1011.00,Agency Owner,missing,10
11-1011.00,Agricultural Services Director,missing,08
11-1011.00,Arts and Humanities Council Director,missing,08
11-1011.00,Bank President,missing,09
11-1011.00,Bureau Chief,missing,"04,06"
11-1011.00,Business Development Executive (BD Executive),BD Executive,09
11-1011.00,Business Development Officer (BD Officer),BD Officer,09
11-1011.00,Business Enterprise Officer,missing,08
11-1011.00,Business Executive,missing,09
11-1011.00,CEO (Chief Executive Officer),CEO,"02,04,08,10"
11-1011.00,Chief Administrative Officer (CAO),CAO,09
11-1011.00,Chief Diversity Officer (CDO),CDO,02
11-1011.00,Chief Financial Officer (CFO),CFO,"01,02,04,08"
11-1011.00,Chief Information Officer (CIO),CIO,"02,08"
11-1011.00,Chief Information Security Officer (CISO),CISO,01
11-1011.00,Chief Innovation Officer (CINO),CINO,08
11-1011.00,Chief Nursing Officer (CNO),CNO,02
11-1011.00,Chief Operating Officer (COO),COO,"02,04,08,10"
11-1011.00,Chief Technical Officer (CTO),CTO,"02,08"
11-1011.00,Chief Technology Officer (CTO),CTO,01
11-1011.00,Chief Warden,missing,08
11-1011.00,Commissioner,missing,"04,06"
11-1011.00,Consumer Affairs Director,missing,08
11-1011.00,Corporate Executive,missing,09
11-1011.00,Correctional Agency Director,missing,08
11-1011.00,County Commissioner,missing,"04,06"
11-1011.00,County Executive Director,missing,10
11-1011.00,Deputy District Customs Director,missing,08
11-1011.00,Deputy Insurance Commissioner,missing,08
11-1011.00,District Customs Director,missing,08
11-1011.00,Employment Research and Planning Director,missing,08
11-1011.00,Employment Services Director,missing,08
11-1011.00,Executive Director,missing,"02,08,10"
11-1011.00,Executive Officer,missing,"02,10"
11-1011.00,Executive Vice President (EVP),EVP,"02,08"
11-1011.00,Finance Vice President (Finance VP),Finance VP,"02,08"
11-1011.00,Financial Institution President,missing,08
11-1011.00,Financial Responsibility Division Director,missing,08
11-1011.00,Foundation Director,missing,09
11-1011.00,Government Service Executive,missing,"04,08"
11-1011.00,Health Commissioner,missing,"04,06"
11-1011.00,Highway Commissioner,missing,"04,06"
11-1011.00,Hospital CFO (Hospital Chief Financial Officer),Hospital CFO,10
11-1011.00,Institution Director,missing,08
11-1011.00,Insurance Commissioner,missing,"04,06"
11-1011.00,Internal Revenue Commissioner,missing,"04,06"
11-1011.00,Labor Commissioner,missing,"04,06"
11-1011.00,Labor Standards Director,missing,08
11-1011.00,Law Enforcement Director,missing,08
11-1011.00,Licensing and Registration Director,missing,08
11-1011.00,Liquor Commissioner,missing,"04,06"
11-1011.00,Liquor Stores and Agencies Supervisor,missing,08
11-1011.00,Media Executive,missing,09
11-1011.00,Medical Facilities Section Director,missing,08
11-1011.00,Music Executive,missing,09
11-1011.00,Nonprofit Director,missing,09
11-1011.00,Operations Vice President (Operations VP),Operations VP,"02,08"
11-1011.00,Police Commissioner,missing,08
11-1011.00,President,missing,"02,09,10"
11-1011.00,Private Sector Executive,missing,08
11-1011.00,Public Health Director,missing,09
11-1011.00,Public Works Commissioner,missing,08
11-1011.00,Public Works Director,missing,09
11-1011.00,Railroad Commissioner,missing,"04,06"
11-1011.00,Regulatory Agency Director,missing,08
11-1011.00,Relocation Commissioner,missing,08
11-1011.00,Road Commissioner,missing,"04,06"
11-1011.00,Safety Council Director,missing,08
11-1011.00,State Assessed Properties Director,missing,08
11-1011.00,Tax Commissioner,missing,"04,06"
11-1011.00,Unemployment Insurance Director,missing,08
11-1011.00,Water Commissioner,missing,"04,06"
11-1011.00,Welfare Director,missing,08
11-1011.03,Chief Environmental Commitment Officer (CECO),CECO,08
11-1011.03,Chief Green Officer (CGO),CGO,08
11-1011.03,Chief Sustainability Officer (CSO),CSO,02
11-1011.03,Climate Change and Sustainability Manager,missing,10
11-1011.03,Corporate Sustainability Manager,missing,10
11-1011.03,Corporate Sustainability Process Manager,missing,02
11-1011.03,CSR and Sustainability VP (Corporate Social Responsibility and Sustainability Vice President),CSR and Sustainability VP,02
11-1011.03,Energy and Sustainability Manager,missing,"02,10"
11-1011.03,Energy Sustainability Manager,missing,10
11-1011.03,"Energy, Sustainability, and Infrastructure Manager",missing,10
11-1011.03,Environmental and Sustainability Manager,missing,10
11-1011.03,Environmental Sustainability Manager,missing,10
11-1011.03,"ESG Manager (Environmental, Social, and Corporate Governance Manager)",ESG Manager,10
11-1011.03,Global Sustainability Manager,missing,10
11-1011.03,Sustainability Chancellor,missing,02
11-1011.03,Sustainability Chief,missing,02
11-1011.03,Sustainability Director,missing,"02,08"
11-1011.03,Sustainability Energy Manager,missing,10
11-1011.03,Sustainability Initiatives Vice President (Sustainability Initiatives VP),Sustainability Initiatives VP,02
11-1011.03,Sustainability Manager,missing,"02,08,10"
11-1011.03,Sustainability Programs Director,missing,02
11-1011.03,Sustainability Reports Director,missing,10
11-1011.03,Sustainability Research and Advocacy Director,missing,08
11-1011.03,Sustainability Strategy Manager,missing,10
11-1011.03,Sustainable Design Director,missing,"02,08"
11-1021.00,Area Manager,missing,"02,10"
11-1021.00,Boards and Commissions Director,missing,03
11-1021.00,Business Coordinator,missing,09
11-1021.00,Business Manager,missing,"02,10"
11-1021.00,Center Manager,missing,02
11-1021.00,Chief Administrative Officer (CAO),CAO,09
11-1021.00,Corporate Manager,missing,09
11-1021.00,Department Manager,missing,02
11-1021.00,Department Store General Manager (Dept Store GM),Dept Store GM,04
11-1021.00,Department Store Manager (Dept Store Manager),Dept Store Manager,"04,06,08"
11-1021.00,District Commercial Superintendent,missing,"04,06"
11-1021.00,District Manager,missing,"01,02,04,06,10"
11-1021.00,District Plant Superintendent,missing,"04,06"
11-1021.00,District Traffic Chief,missing,"04,06"
11-1021.00,District Wire Chief,missing,"04,06"
11-1021.00,Division Toll Wire Chief,missing,"04,06"
11-1021.00,Division Traffic Superintendent,missing,"04,06"
11-1021.00,Drilling and Production Superintendent,missing,"04,06"
11-1021.00,Electrical Superintendent,missing,"04,06"
11-1021.00,Equipment Maintenance Superintendent,missing,"04,06"
11-1021.00,Field Party Manager,missing,"04,06"
11-1021.00,Fish and Game Club Manager,missing,08
11-1021.00,General Manager (GM),GM,"02,04,10"
11-1021.00,General Superintendent,missing,"04,06"
11-1021.00,Golf and Operations Manager,missing,08
11-1021.00,Golf Course Manager,missing,09
11-1021.00,Gym Manager,missing,09
11-1021.00,Installation Superintendent,missing,04
11-1021.00,IO Manager (Industrial Organization Manager),IO Manager,"04,06,08"
11-1021.00,Laundry Superintendent,missing,"04,06"
11-1021.00,Line Construction Superintendent,missing,"04,06"
11-1021.00,Manufacturing Operations Manager,missing,"02,04,09"
11-1021.00,Mine Superintendent,missing,"04,06"
11-1021.00,Movie Theater Manager,missing,08
11-1021.00,Newspaper Manager,missing,09
11-1021.00,Nonprofit Manager,missing,09
11-1021.00,Office Manager,missing,02
11-1021.00,Offshoring Manager,missing,08
11-1021.00,Operational Risk Manager,missing,04
11-1021.00,Operations Director,missing,"02,10"
11-1021.00,Operations General Manager (Operations GM),Operations GM,02
11-1021.00,Operations Manager,missing,"02,04,10"
11-1021.00,Operations Supervisor,missing,"04,06,10"
11-1021.00,Park Superintendent,missing,"04,06"
11-1021.00,Parks and Recreation Manager,missing,09
11-1021.00,Plant Superintendent,missing,02
11-1021.00,Print Production Manager,missing,08
11-1021.00,Printing Manager,missing,09
11-1021.00,Prison Warden,missing,09
11-1021.00,Program Director,missing,03
11-1021.00,Program Manager,missing,08
11-1021.00,Public Works Director,missing,09
11-1021.00,Publication Director,missing,"04,06"
11-1021.00,Refinery Superintendent,missing,"04,06"
11-1021.00,Revenue Director,missing,"04,06"
11-1021.00,Revenue Manager,missing,09
11-1021.00,Roads Superintendent,missing,"04,06"
11-1021.00,Shelter Director,missing,08
11-1021.00,Shift Supervisor,missing,10
11-1021.00,Shop Superintendent,missing,06
11-1021.00,Site Operations Manager,missing,"02,09"
11-1021.00,Solid Waste Manager,missing,08
11-1021.00,Sports Team Manager,missing,09
11-1021.00,Store Director,missing,"02,09"
11-1021.00,Store Manager,missing,"01,02,04"
